group,year,gini,theil
907,10,0.547249285,0.158287765
1001,1,0,0
1001,2,0,0
1001,3,0,0
1001,4,0,0
1001,5,0,0
1001,6,0.242280523,0.112316204
1001,7,0.21181318,0.074393878
1001,8,0.205829279,0.070149541
1001,9,0.238544229,0.098149956
1001,10,0.251572643,0.102470351
1002,1,0,0
1002,2,0,0
1002,3,0,0
1002,4,0,0
1002,5,0,0
1002,6,0.238722409,0.096746108
1002,7,0.233986961,0.094342431
1002,8,0.245229221,0.09881821
1002,9,0.228711782,0.086414952
1002,10,0.231718995,0.088747789
1003,1,0,0
1003,2,0,0
1003,3,0,0
1003,4,0,0
1003,5,0,0
1003,6,0.242662142,0.097361399
1003,7,0.259433334,0.121125256
1003,8,0.279637824,0.133063875
1003,9,0.280403184,0.134184762
1003,10,0.25154526,0.09924988
1004,1,0,0
1004,2,0,0
1004,3,0,0
1004,4,0,0
1004,5,0,0
1004,6,0.259823091,0.115556624
1004,7,0.265999072,0.117892935
1004,8,0.279851707,0.129193996
1004,9,0.293509376,0.14608716
1004,10,0.27846759,0.131909608
1005,1,0,0
1005,2,0,0
1005,3,0,0
1005,4,0,0
1005,5,0,0
1005,6,0.279127167,0.126002944
1005,7,0.298092083,0.151213396
1005,8,0.29844116,0.15032144
1005,9,0.315673847,0.17152421
1005,10,0.286665836,0.131456252
1006,1,0,0
1006,2,0,0
1006,3,0,0
1006,4,0,0
1006,5,0,0
1006,6,0.319268094,0.159857893
1006,7,0.332144459,0.169507151
1006,8,0.249286958,0.099399362
1006,9,0.296121674,0.13754928
1006,10,0.254026681,0.097260034
1007,1,0,0
1007,2,0,0
1007,3,0,0
1007,4,0,0
1007,5,0,0
1007,6,0.438981736,0.251245866
1007,7,0,0
1007,8,0,0
1007,9,0.308936296,0.118943654
1007,10,0.36323624,0.17586862
1101,1,0,0
1101,2,0,0
1101,3,0,0
1101,4,0,0
1101,5,0,0
1101,6,0.233994277,0.092381561
1101,7,0.236780885,0.093088817
1101,8,0.224381513,0.082049918
1101,9,0.221094446,0.078138958
1101,10,0.246760256,0.09792531
1102,1,0,0
1102,2,0,0
1102,3,0,0
1102,4,0,0
1102,5,0,0
1102,6,0.228225806,0.084466696
1102,7,0.232059822,0.085822063
1102,8,0.251122717,0.103187192
1102,9,0.231338679,0.088666201
1102,10,0.256370281,0.107727765
1103,1,0,0
1103,2,0,0
1103,3,0,0
1103,4,0,0
1103,5,0,0
1103,6,0.234355534,0.088999044
1103,7,0.245627399,0.098171266
1103,8,0.247163698,0.104422739
1103,9,0.233977093,0.087702082
1103,10,0.264636937,0.115012002
1104,1,0,0
1104,2,0,0
1104,3,0,0
1104,4,0,0
1104,5,0,0
1104,6,0.234754415,0.08782583
1104,7,0.238128472,0.092831674
1104,8,0.240831443,0.093418574
1104,9,0.263187922,0.112637003
1104,10,0.264359801,0.11172651
1105,1,0,0
1105,2,0,0
1105,3,0,0
1105,4,0,0
1105,5,0,0
1105,6,0.243757294,0.093706275
1105,7,0.25653347,0.106122448
1105,8,0.260105282,0.10788481
